Género,epíteto específico,Color_1,Color_2,Color_3,Láminas,Poros,Dientes,Pliegues,Gasteroide,Plato-cuenco-olla,Pie-sombrero-no-tipico,Nido,Gelatinosas,Coral-coliflor,Embudo-c/s-hendidura,Porra,Porra con cabeza,Clavo,Repisa-leñosos,Costra,Falos hediondos,Otros,Líquenes,Myxomycetos
Coprinellus,disseminatus,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coprinellus,domesticus,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coprinellus,micaceus,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coprinellus,pusilluls,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coprinellus,truncorum,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coprinopsis,acuminata,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coprinopsis,atramentaria,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coprinopsis,cinerea,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coprinopsis,ephemeroides,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coprinopsis,lagopus,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coprinopsis,mecrocephala,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coprinopsis,nivea,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coprinopsis,picacea,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coprinopsis,radiata,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coprinopsis,stercorea,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyclocybe,aegerita,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyptotrama,asptrata,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deconica,coprophila,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deconica,montana,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Descolea,maculata,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Entoloma,sinuatum,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flammulina,velutipes,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Galerina,vittiformis,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gerronema,stuckertii,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gymnopilus,austropicreus,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gymnopilus,chrysopellus,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gymnopilus,junonius,60.95 33.47 58.29,70.15 16.21 73.39,64.66 25.39 67.74,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gymnopilus,imperialis,60.95 33.47 58.29,70.15 16.21 73.39,64.66 25.39 67.74,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gymnopilus,luteofilus,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gymnopilus,picreus,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gymnopilus,purpureosquamulosus,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gymnopus,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hebeloma,crustuliniforme,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hebeloma,sacchariolens,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hohenbuehelia,grisea,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hydropus,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hygrocybe,conica,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hygrocybe,coccinea,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hygrocybe,nitrata,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hygrocybe,singeri,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hygrophoropsis,aurantiaca,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hymenopellis,radicata,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hypholoma,fasciculare,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hypholoma,lateritium,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inocybe,fumosifolia,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inocybe,heimii,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inocybe,lacera,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inocybe,langei,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inocybe,variabillima,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laccaria,fraterna,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laccaria,laccata,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laccaria,proxima,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laccaria,tortilis,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lactarius,deliciosus,69.66 39.24 51.63,69.66 39.24 51.63,69.66 39.24 51.63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lactarius,hepaticus,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lactarius,quieticolor,80.01 21.94 30.36,80.01 21.94 30.36,80.01 21.94 30.36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lentinellus,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lentinula,edodes,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lentinula,boryana,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lentinus,berteroi,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lentinus,crinitus,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lentinus,fasciatus,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lentinus,swartzii,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lentinus,tigrinus,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lepiota,cristata,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lepista,nuda,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lepista,sordida,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leptonia,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leratiomyces,ceres,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leucoagaricus,americanus,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leucoagaricus,leucothies,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leucocoprinus,birnbaumii,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leucocoprinus,brebissonii,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leucocoprinus,cepistipes,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leucocoprinus,cretaceus,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leucocoprinus,fragilissimus,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lichenomphalia,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macrocybe,titans,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macrolepiota,bonaerensis,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macrolepiota,fulgineosuarrosa,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macrolepiota,gracilenta,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macrolepiota,kenardi,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macrolepiota,mastoridea,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
